"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2026","Kenneth Gainwell","Buccaneers","RB","5","-2.31","-0.089","-2.98","-0.115","-2.36","-0.47","20.0%","0.0","0.0","0.0%","40.0%"
"[object Object]","2026","Kayshon Boutte","Texans","WR","7","-2.32","-0.032","-3.73","-0.052","0.75","0.11","42.9%","0.0","0.0","28.6%","14.3%"
"[object Object]","2026","Brenen Thompson","Chargers","WR","3","-2.38","-0.140","-2.84","-0.167","0.21","0.07","33.3%","0.0","0.0","33.3%","33.3%"
"[object Object]","2026","Chase Brown","Bengals","RB","11","-2.41","-0.069","-3.28","-0.094","-4.67","-0.42","18.2%","0.0","0.0","0.0%","9.1%"
"[object Object]","2026","Ja'Marr Chase","Bengals","WR","13","-2.61","-0.038","-4.23","-0.061","0.53","0.04","38.5%","0.0","0.0","15.4%","23.1%"
"[object Object]","2026","Cam Skattebo","Giants","RB","4","-2.68","-0.103","-3.36","-0.129","-0.67","-0.17","25.0%","0.0","0.0","25.0%","25.0%"
"[object Object]","2026","Germie Bernard","Steelers","WR","8","-2.76","-0.073","-3.60","-0.095","-4.10","-0.51","25.0%","0.0","0.0","25.0%","25.0%"
"[object Object]","2026","KC Concepcion","Browns","WR","11","-2.83","-0.064","-4.02","-0.091","-1.25","-0.11","54.5%","0.0","0.0","9.1%","9.1%"
"[object Object]","2026","George Pickens","Cowboys","WR","13","-3.04","-0.052","-4.66","-0.079","1.62","0.12","53.8%","0.0","0.0","15.4%","15.4%"
"[object Object]","2026","Makai Lemon","Eagles","WR","5","-3.14","-0.053","-4.55","-0.077","-1.80","-0.36","20.0%","0.0","0.0","20.0%","20.0%"
"[object Object]","2026","Dyami Brown","Commanders","WR","7","-3.39","-0.075","-4.37","-0.097","-6.41","-0.92","28.6%","0.0","0.0","14.3%","28.6%"
"[object Object]","2026","Travis Etienne","Saints","RB","11","-3.55","-0.096","-4.29","-0.116","-1.39","-0.13","27.3%","0.0","0.0","18.2%","9.1%"
"[object Object]","2026","Romeo Doubs","Patriots","WR","7","-3.82","-0.076","-5.03","-0.101","-0.13","-0.02","42.9%","0.0","0.0","28.6%","28.6%"
"[object Object]","2026","Andrei Iosivas","Bengals","WR","4","-4.22","-0.098","-5.24","-0.122","-7.81","-1.95","25.0%","0.0","0.0","0.0%","50.0%"
"[object Object]","2026","Xavier Worthy","Chiefs","WR","13","-5.54","-0.079","-6.92","-0.099","-6.98","-0.54","46.2%","0.0","0.0","7.7%","23.1%"
