"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Colston Loveland","Bears","TE","81","24.40","0.069","16.19","0.045","44.51","0.55","64.2%","21.0","0.6","33.3%","6.2%"
"[object Object]","2025","Parker Washington","Jaguars","WR","95","23.54","0.061","14.96","0.038","23.23","0.24","52.6%","21.1","0.7","31.6%","15.8%"
"[object Object]","2025","Tee Higgins","Bengals","WR","99","22.82","0.046","10.69","0.021","27.54","0.28","55.6%","16.9","0.5","30.3%","13.1%"
"[object Object]","2025","Tetairoa McMillan","Panthers","WR","122","22.61","0.044","9.94","0.019","20.89","0.17","51.6%","16.4","0.5","32.0%","22.1%"
"[object Object]","2025","Michael Wilson","Cardinals","WR","127","22.48","0.037","8.69","0.014","21.04","0.17","52.8%","16.1","0.5","21.3%","16.5%"
"[object Object]","2025","George Kittle","49ers","TE","69","21.34","0.075","14.26","0.050","43.73","0.63","72.5%","18.0","0.6","34.8%","4.3%"
"[object Object]","2025","Terry McLaurin","Commanders","WR","60","21.18","0.084","15.11","0.060","22.99","0.38","63.3%","18.1","0.6","28.3%","16.7%"
"[object Object]","2025","AJ Barner","Seahawks","TE","68","20.84","0.062","12.37","0.037","22.82","0.34","66.2%","16.9","0.5","27.9%","5.9%"
"[object Object]","2025","Travis Kelce","Chiefs","TE","108","20.83","0.041","8.53","0.017","32.80","0.30","62.0%","15.4","0.5","26.9%","9.3%"
"[object Object]","2025","Rome Odunze","Bears","WR","90","20.49","0.057","12.29","0.034","16.52","0.18","45.6%","16.9","0.5","32.2%","12.2%"
"[object Object]","2025","Brock Bowers","Raiders","TE","87","20.29","0.054","10.55","0.028","14.22","0.16","60.9%","15.6","0.5","28.7%","11.5%"
"[object Object]","2025","DeVonta Smith","Eagles","WR","114","19.98","0.041","7.66","0.016","48.49","0.43","53.5%","13.5","0.4","28.1%","8.8%"
"[object Object]","2025","Jahmyr Gibbs","Lions","RB","94","19.64","0.059","11.73","0.035","16.26","0.17","48.9%","15.5","0.5","18.1%","9.6%"
"[object Object]","2025","CeeDee Lamb","Cowboys","WR","117","19.07","0.043","9.40","0.021","23.36","0.20","52.1%","15.0","0.5","25.6%","12.0%"
"[object Object]","2025","Ladd McConkey","Chargers","WR","107","19.01","0.035","6.70","0.012","11.04","0.10","52.3%","13.5","0.4","24.3%","13.1%"
"[object Object]","2025","Sam LaPorta","Lions","TE","49","18.89","0.083","13.34","0.059","31.32","0.64","69.4%","16.4","0.5","32.7%","6.1%"
"[object Object]","2025","Tyjae Spears","Titans","RB","51","18.82","0.096","13.99","0.071","-1.40","-0.03","37.3%","15.8","0.5","15.7%","15.7%"
"[object Object]","2025","Harold Fannin Jr.","Browns","TE","107","18.70","0.045","9.10","0.022","0.15","0.00","48.6%","14.5","0.4","19.6%","15.9%"
"[object Object]","2025","Dalton Schultz","Texans","TE","105","18.61","0.038","7.43","0.015","42.55","0.41","66.7%","13.9","0.4","21.0%","4.8%"
"[object Object]","2025","Davante Adams","Rams","WR","113","18.48","0.048","9.18","0.024","23.85","0.21","50.4%","14.0","0.4","25.7%","14.2%"
"[object Object]","2025","A.J. Brown","Eagles","WR","121","18.25","0.040","6.93","0.015","30.93","0.26","55.4%","12.6","0.4","23.1%","14.0%"
"[object Object]","2025","Cooper Kupp","Seahawks","WR","71","17.95","0.046","8.49","0.022","3.79","0.05","57.7%","12.9","0.4","22.5%","19.7%"
"[object Object]","2025","Josh Downs","Colts","WR","88","17.78","0.050","9.04","0.025","6.20","0.07","52.3%","13.4","0.4","27.3%","15.9%"
"[object Object]","2025","Courtland Sutton","Broncos","WR","123","17.66","0.032","5.38","0.010","41.07","0.33","53.7%","12.1","0.4","28.5%","16.3%"
"[object Object]","2025","Tyler Warren","Colts","TE","113","17.46","0.036","5.46","0.011","11.80","0.10","53.1%","11.9","0.4","23.0%","7.1%"
"[object Object]","2025","Breece Hall","Jets","RB","48","17.44","0.078","12.01","0.054","9.38","0.20","58.3%","14.5","0.4","12.5%","6.3%"
"[object Object]","2025","Ty Johnson","Bills","RB","33","16.57","0.085","12.19","0.063","8.49","0.26","51.5%","14.3","0.4","18.2%","18.2%"
"[object Object]","2025","Luther Burden III","Bears","WR","60","16.42","0.071","11.24","0.049","29.86","0.50","60.0%","14.1","0.4","35.0%","11.7%"
"[object Object]","2025","Wan'Dale Robinson","Giants","WR","140","16.19","0.030","4.07","0.008","11.99","0.09","50.0%","10.2","0.3","22.9%","17.1%"
"[object Object]","2025","Khalil Shakir","Bills","WR","95","15.90","0.040","6.87","0.017","5.54","0.06","46.3%","11.7","0.4","18.9%","18.9%"
"[object Object]","2025","Dalton Kincaid","Bills","TE","49","15.09","0.083","10.90","0.060","35.25","0.72","67.3%","13.3","0.4","42.9%","6.1%"
"[object Object]","2025","Emeka Egbuka","Buccaneers","WR","130","15.06","0.030","3.63","0.007","0.64","0.00","42.3%","9.9","0.3","18.5%","19.2%"
"[object Object]","2025","Elic Ayomanor","Titans","WR","89","14.51","0.032","3.13","0.007","-14.49","-0.16","41.6%","8.8","0.3","21.3%","22.5%"
"[object Object]","2025","Keenan Allen","Chargers","WR","122","14.50","0.032","4.22","0.009","25.56","0.21","57.4%","10.3","0.3","23.0%","18.0%"
"[object Object]","2025","Pat Freiermuth","Steelers","TE","53","14.31","0.049","7.16","0.024","22.51","0.42","58.5%","11.0","0.3","26.4%","7.5%"
"[object Object]","2025","Jordan Addison","Vikings","WR","77","14.29","0.035","4.32","0.011","9.26","0.12","44.2%","9.2","0.3","15.6%","13.0%"
"[object Object]","2025","DeAndre Hopkins","Ravens","WR","37","14.18","0.076","9.40","0.050","14.64","0.40","59.5%","11.7","0.4","37.8%","16.2%"
"[object Object]","2025","Christian Watson","Packers","WR","55","14.16","0.062","8.56","0.038","26.63","0.48","60.0%","11.4","0.4","30.9%","12.7%"
