"Rank","Season","Player","Team","Pos.","Cov. Snaps","Tgts","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","EPA","EPA/Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Patrick Queen","Steelers","LB","598","42","2.98","0.005","-14.78","-0.026","8.59","0.20","50.0%","-13.2","-0.4","23.8%","9.5%"
"[object Object]","2025","Max Melton","Cardinals","CB","240","35","2.83","0.012","-5.13","-0.022","18.45","0.53","54.3%","-3.3","-0.1","31.4%","8.6%"
"[object Object]","2025","Jalyn Armour-Davis","Titans","CB","286","26","2.83","0.010","-7.23","-0.026","17.63","0.68","65.4%","-4.9","-0.2","50.0%","11.5%"
"[object Object]","2025","Nick Cross","Colts","S","609","42","2.24","0.004","-16.37","-0.027","10.91","0.26","57.1%","-13.2","-0.4","31.0%","9.5%"
"[object Object]","2025","Jarvis Brownlee Jr.","2 teams","CB","238","30","2.20","0.009","-5.53","-0.023","7.13","0.24","60.0%","-3.7","-0.1","26.7%","13.3%"
"[object Object]","2025","Trey Amos","Commanders","CB","280","34","1.85","0.007","-7.36","-0.026","5.04","0.15","55.9%","-5.0","-0.2","29.4%","8.8%"
"[object Object]","2025","Deonte Banks","Giants","CB","257","31","1.64","0.007","-6.76","-0.027","20.52","0.66","67.7%","-4.9","-0.2","32.3%","6.5%"
"[object Object]","2025","Marlon Humphrey","Ravens","CB","525","68","1.44","0.003","-14.98","-0.029","31.38","0.46","55.9%","-11.2","-0.3","32.4%","11.8%"
"[object Object]","2025","Darius Slay","Steelers","CB","308","31","0.91","0.003","-8.14","-0.027","8.88","0.29","58.1%","-5.8","-0.2","16.1%","6.5%"
"[object Object]","2025","Upton Stout","49ers","CB","360","44","0.75","0.002","-11.58","-0.032","16.91","0.38","56.8%","-8.9","-0.3","31.8%","15.9%"
"[object Object]","2025","SirVocea Dennis","Buccaneers","LB","488","34","0.49","0.001","-15.22","-0.034","13.45","0.40","73.5%","-13.8","-0.4","32.4%","8.8%"
"[object Object]","2025","Amani Hooker","Titans","S","500","35","0.33","0.001","-16.57","-0.034","19.36","0.55","60.0%","-14.2","-0.4","31.4%","11.4%"
"[object Object]","2025","Quincy Williams","Jets","LB","352","29","-0.66","-0.002","-11.08","-0.034","4.19","0.14","44.8%","-10.6","-0.3","10.3%","10.3%"
"[object Object]","2025","Shavon Revel Jr.","Cowboys","CB","191","31","-1.05","-0.006","-8.14","-0.043","18.96","0.61","64.5%","-6.7","-0.2","35.5%","9.7%"
"[object Object]","2025","Carrington Valentine","Packers","CB","420","52","-2.13","-0.005","-16.15","-0.038","17.74","0.34","55.8%","-12.9","-0.4","34.6%","19.2%"
"[object Object]","2025","Barrett Carter","Bengals","LB","389","35","-2.94","-0.008","-15.28","-0.043","16.56","0.47","65.7%","-14.2","-0.4","25.7%","5.7%"
"[object Object]","2025","Marques Sigle","49ers","S","219","23","-3.17","-0.015","-10.42","-0.048","20.52","0.89","73.9%","-9.3","-0.3","43.5%","4.3%"
"[object Object]","2025","Akeem Davis-Gaither","Cardinals","LB","358","30","-3.37","-0.010","-14.27","-0.042","12.33","0.41","60.0%","-13.3","-0.4","23.3%","0.0%"
"[object Object]","2025","L'Jarius Sneed","Titans","CB","187","22","-3.77","-0.020","-10.04","-0.054","16.36","0.74","50.0%","-8.6","-0.3","40.9%","18.2%"
