"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Zach Charbonnet","Seahawks","184","19.63","0.107","13.41","0.073","6.41","0.03","50.0%","19.4","0.6","7.6%","4.9%"
"[object Object]","2025","Chase Brown","Bengals","232","19.54","0.084","11.79","0.051","4.53","0.02","45.3%","19.3","0.6","3.9%","1.7%"
"[object Object]","2025","Trevor Lawrence","Jaguars","82","19.40","0.237","13.44","0.164","24.29","0.30","64.6%","16.1","0.5","22.0%","7.3%"
"[object Object]","2025","Jacory Croskey-Merritt","Commanders","175","18.53","0.106","12.16","0.070","1.44","0.01","49.7%","17.8","0.6","4.6%","3.4%"
"[object Object]","2025","Omarion Hampton","Chargers","124","16.36","0.132","12.38","0.100","3.11","0.03","45.2%","16.4","0.5","10.5%","7.3%"
"[object Object]","2025","Bryce Young","Panthers","54","15.36","0.284","10.65","0.197","6.30","0.12","44.4%","12.1","0.4","14.8%","5.6%"
"[object Object]","2025","Chris Rodriguez Jr.","Commanders","112","15.31","0.137","11.39","0.102","11.69","0.10","52.7%","15.0","0.5","8.0%","3.6%"
"[object Object]","2025","Shedeur Sanders","Browns","21","14.90","0.709","12.48","0.594","11.34","0.54","81.0%","13.2","0.4","19.0%","0.0%"
"[object Object]","2025","Spencer Rattler","Saints","31","14.35","0.463","12.08","0.390","9.02","0.29","71.0%","13.2","0.4","12.9%","3.2%"
"[object Object]","2025","Nick Chubb","Texans","122","13.70","0.112","9.71","0.080","-0.40","-0.00","43.4%","13.7","0.4","6.6%","3.3%"
"[object Object]","2025","Lamar Jackson","Ravens","67","13.64","0.204","8.58","0.128","16.92","0.25","47.8%","10.7","0.3","20.9%","3.0%"
"[object Object]","2025","Rhamondre Stevenson","Patriots","130","13.37","0.103","8.95","0.069","-12.88","-0.10","45.4%","13.2","0.4","8.5%","12.3%"
"[object Object]","2025","Jayden Daniels","Commanders","58","12.82","0.221","7.54","0.130","1.97","0.03","55.2%","9.4","0.3","6.9%","5.2%"
"[object Object]","2025","Breece Hall","Jets","243","12.14","0.050","3.77","0.015","-16.94","-0.07","44.4%","11.6","0.4","7.0%","6.2%"
"[object Object]","2025","Audric Estime","Saints","46","11.95","0.260","10.39","0.226","7.63","0.17","52.2%","11.9","0.4","4.3%","0.0%"
"[object Object]","2025","Patrick Mahomes","Chiefs","64","11.89","0.186","5.56","0.087","29.50","0.46","64.1%","7.6","0.2","20.3%","0.0%"
"[object Object]","2025","Saquon Barkley","Eagles","280","11.59","0.041","2.02","0.007","-10.30","-0.04","46.1%","11.1","0.3","5.7%","6.8%"
"[object Object]","2025","Blake Corum","Rams","145","11.36","0.078","6.79","0.047","16.40","0.11","55.9%","11.5","0.4","8.3%","4.1%"
"[object Object]","2025","J.J. McCarthy","Vikings","37","10.82","0.292","7.95","0.215","12.83","0.35","56.8%","9.0","0.3","21.6%","5.4%"
"[object Object]","2025","Brian Robinson","49ers","92","10.33","0.112","7.41","0.081","3.99","0.04","48.9%","10.4","0.3","5.4%","2.2%"
"[object Object]","2025","Justin Herbert","Chargers","83","10.04","0.121","3.47","0.042","27.60","0.33","60.2%","6.1","0.2","18.1%","7.2%"
"[object Object]","2025","TreVeyon Henderson","Patriots","180","10.03","0.056","3.96","0.022","12.02","0.07","47.8%","9.8","0.3","7.2%","5.0%"
"[object Object]","2025","Ashton Jeanty","Raiders","266","9.78","0.037","0.01","0.000","-41.42","-0.16","38.3%","8.6","0.3","4.1%","8.6%"
"[object Object]","2025","Jaxson Dart","Giants","86","9.78","0.114","3.84","0.045","34.67","0.40","64.0%","6.6","0.2","27.9%","5.8%"
"[object Object]","2025","Kyler Murray","Cardinals","29","9.50","0.328","7.06","0.243","4.23","0.15","48.3%","8.1","0.2","20.7%","10.3%"
"[object Object]","2025","Malachi Corley","Browns","13","9.40","0.723","8.98","0.690","6.26","0.48","84.6%","9.3","0.3","15.4%","7.7%"
"[object Object]","2025","Rachaad White","Buccaneers","132","9.27","0.070","4.91","0.037","12.32","0.09","56.1%","9.2","0.3","6.1%","3.0%"
"[object Object]","2025","Puka Nacua","Rams","10","8.93","0.893","8.61","0.861","9.06","0.91","70.0%","8.9","0.3","30.0%","0.0%"
"[object Object]","2025","Jordan Mason","Vikings","159","8.82","0.055","3.07","0.019","2.66","0.02","49.1%","8.2","0.3","8.8%","7.5%"
"[object Object]","2025","Dak Prescott","Cowboys","53","8.82","0.166","5.55","0.105","0.65","0.01","43.4%","6.9","0.2","11.3%","5.7%"
"[object Object]","2025","Kendre Miller","Saints","47","8.80","0.187","7.27","0.155","-1.02","-0.02","42.6%","8.8","0.3","4.3%","0.0%"
"[object Object]","2025","Tony Pollard","Titans","242","8.66","0.036","0.28","0.001","-10.87","-0.04","43.0%","8.1","0.2","4.5%","5.0%"
"[object Object]","2025","Jawhar Jordan","Texans","43","8.54","0.199","7.12","0.166","0.44","0.01","37.2%","8.5","0.3","7.0%","0.0%"
"[object Object]","2025","Jordan Love","Packers","47","8.43","0.179","5.11","0.109","16.02","0.34","51.1%","6.3","0.2","23.4%","2.1%"
"[object Object]","2025","D'Andre Swift","Bears","223","7.93","0.036","0.82","0.004","20.49","0.09","54.7%","8.0","0.2","9.9%","4.5%"
"[object Object]","2025","Trey Benson","Cardinals","29","7.77","0.268","6.80","0.234","0.53","0.02","27.6%","7.7","0.2","6.9%","0.0%"
"[object Object]","2025","Jordan Addison","Vikings","2","7.10","3.552","7.03","3.514","7.55","3.78","100.0%","7.1","0.2","100.0%","0.0%"
"[object Object]","2025","Derrick Henry","Ravens","307","6.68","0.022","-4.24","-0.014","16.11","0.05","50.2%","5.7","0.2","10.1%","6.5%"
"[object Object]","2025","Jaret Patterson","Chargers","41","6.33","0.154","5.08","0.124","5.07","0.12","46.3%","6.4","0.2","7.3%","2.4%"
"[object Object]","2025","Jeremy McNichols","Commanders","44","6.28","0.143","4.76","0.108","1.53","0.03","45.5%","6.2","0.2","11.4%","11.4%"
"[object Object]","2025","Cam Ward","Titans","39","5.84","0.150","2.63","0.067","7.07","0.18","53.8%","3.8","0.1","20.5%","7.7%"
"[object Object]","2025","Tyrod Taylor","Jets","27","5.59","0.207","2.67","0.099","4.65","0.17","44.4%","3.6","0.1","11.1%","0.0%"
"[object Object]","2025","Jaleel McLaughlin","Broncos","37","5.07","0.137","3.92","0.106","3.18","0.09","62.2%","5.1","0.2","2.7%","5.4%"
"[object Object]","2025","Cam Skattebo","Giants","101","4.81","0.048","1.69","0.017","-4.94","-0.05","50.5%","5.0","0.2","6.9%","3.0%"
"[object Object]","2025","Zay Flowers","Ravens","10","4.81","0.481","4.45","0.445","3.29","0.33","70.0%","4.7","0.1","10.0%","0.0%"
"[object Object]","2025","Kenneth Gainwell","Steelers","114","4.72","0.041","0.76","0.007","3.42","0.03","54.4%","4.4","0.1","4.4%","5.3%"
"[object Object]","2025","Drake Maye","Patriots","103","4.47","0.043","-3.81","-0.037","16.47","0.16","49.5%","-0.9","-0.0","16.5%","4.9%"
"[object Object]","2025","Kareem Hunt","Chiefs","163","4.44","0.027","-0.76","-0.005","14.22","0.09","54.0%","4.5","0.1","9.2%","5.5%"
"[object Object]","2025","C.J. Stroud","Texans","48","4.14","0.086","0.57","0.012","14.55","0.30","50.0%","1.9","0.1","22.9%","0.0%"
"[object Object]","2025","Tyrone Tracy Jr.","Giants","176","4.12","0.023","-1.61","-0.009","-4.89","-0.03","41.5%","4.1","0.1","4.5%","4.5%"
"[object Object]","2025","Joe Flacco","2 teams","21","3.95","0.188","3.25","0.155","1.50","0.07","42.9%","3.7","0.1","14.3%","4.8%"
"[object Object]","2025","Jaylen Wright","Dolphins","70","3.86","0.055","1.41","0.020","-0.68","-0.01","54.3%","3.7","0.1","5.7%","5.7%"
"[object Object]","2025","Mark Andrews","Ravens","10","3.58","0.358","3.24","0.324","5.44","0.54","70.0%","3.6","0.1","20.0%","10.0%"
"[object Object]","2025","Travis Etienne","Jaguars","260","3.53","0.014","-4.70","-0.018","-2.48","-0.01","43.8%","3.7","0.1","8.5%","4.2%"
"[object Object]","2025","Carson Wentz","Vikings","11","3.51","0.319","2.38","0.217","0.23","0.02","27.3%","2.8","0.1","27.3%","18.2%"
"[object Object]","2025","Brock Purdy","49ers","33","3.48","0.105","1.02","0.031","10.57","0.32","60.6%","2.1","0.1","21.2%","6.1%"
"[object Object]","2025","Riley Leonard","Colts","6","3.48","0.581","3.06","0.510","3.29","0.55","66.7%","3.2","0.1","50.0%","0.0%"
"[object Object]","2025","Tyler Shough","Saints","45","3.12","0.069","0.25","0.006","-1.28","-0.03","48.9%","1.6","0.0","11.1%","4.4%"
"[object Object]","2025","Jonnu Smith","Steelers","9","2.81","0.312","2.53","0.281","3.27","0.36","66.7%","2.8","0.1","11.1%","0.0%"
"[object Object]","2025","Trey Lance","Chargers","17","2.79","0.164","1.73","0.102","1.37","0.08","47.1%","2.3","0.1","17.6%","11.8%"
"[object Object]","2025","Tyler Allgeier","Falcons","143","2.78","0.019","-1.95","-0.014","5.36","0.04","51.7%","2.7","0.1","9.8%","7.0%"
"[object Object]","2025","Luther Burden III","Bears","6","2.77","0.462","2.57","0.429","1.37","0.23","50.0%","2.7","0.1","16.7%","0.0%"
"[object Object]","2025","British Brooks","Texans","17","2.73","0.161","2.19","0.129","2.04","0.12","52.9%","2.7","0.1","11.8%","5.9%"
"[object Object]","2025","Jacoby Brissett","Cardinals","38","2.69","0.071","-0.27","-0.007","8.01","0.21","68.4%","1.0","0.0","10.5%","7.9%"
"[object Object]","2025","Tyjae Spears","Titans","72","2.62","0.036","0.22","0.003","1.61","0.02","41.7%","2.5","0.1","8.3%","1.4%"
"[object Object]","2025","Bhayshul Tuten","Jaguars","83","2.44","0.029","-0.20","-0.002","-4.45","-0.05","50.6%","2.5","0.1","4.8%","6.0%"
"[object Object]","2025","Trevor Etienne","Panthers","20","2.44","0.122","1.81","0.091","1.32","0.07","60.0%","2.5","0.1","5.0%","5.0%"
"[object Object]","2025","Ameer Abdullah","Colts","14","2.39","0.171","1.90","0.136","2.00","0.14","50.0%","2.4","0.1","7.1%","0.0%"
"[object Object]","2025","Matthew Golden","Packers","10","2.37","0.237","2.08","0.208","1.38","0.14","70.0%","2.3","0.1","0.0%","0.0%"
"[object Object]","2025","Ashton Dulin","Colts","3","2.35","0.784","2.26","0.752","3.55","1.18","100.0%","2.3","0.1","66.7%","0.0%"
"[object Object]","2025","Brittain Brown","Bears","5","2.33","0.466","2.19","0.439","1.32","0.26","60.0%","2.4","0.1","20.0%","20.0%"
"[object Object]","2025","Tyler Huntley","Ravens","24","2.25","0.094","1.09","0.045","11.16","0.46","54.2%","1.8","0.1","25.0%","4.2%"
"[object Object]","2025","Daniel Jones","Colts","45","2.12","0.047","-1.01","-0.023","11.80","0.26","57.8%","0.3","0.0","15.6%","2.2%"
"[object Object]","2025","Malik Washington","Dolphins","17","2.09","0.123","1.52","0.090","1.76","0.10","64.7%","2.0","0.1","23.5%","5.9%"
"[object Object]","2025","Rico Dowdle","Panthers","236","2.08","0.009","-6.06","-0.026","0.97","0.00","45.8%","1.6","0.0","6.8%","3.4%"
"[object Object]","2025","Jimmy Horn Jr.","Panthers","8","1.96","0.245","1.73","0.217","2.69","0.34","75.0%","2.0","0.1","12.5%","0.0%"
"[object Object]","2025","Kyle Monangai","Bears","169","1.85","0.011","-3.31","-0.020","7.31","0.04","52.7%","2.1","0.1","7.7%","4.7%"
"[object Object]","2025","Josh Johnson","Commanders","12","1.69","0.141","0.50","0.042","-1.02","-0.08","50.0%","0.9","0.0","33.3%","8.3%"
"[object Object]","2025","Jaxon Smith-Njigba","Seahawks","7","1.32","0.188","1.13","0.162","1.00","0.14","57.1%","1.3","0.0","0.0%","0.0%"
"[object Object]","2025","Corey Kiner","Cardinals","12","1.29","0.108","0.85","0.071","0.91","0.08","50.0%","1.2","0.0","0.0%","0.0%"
"[object Object]","2025","Marvin Mims Jr.","Broncos","12","1.16","0.097","0.83","0.069","2.88","0.24","58.3%","1.2","0.0","16.7%","8.3%"
"[object Object]","2025","Emanuel Wilson","Packers","125","1.08","0.009","-3.20","-0.026","0.10","0.00","54.4%","0.8","0.0","2.4%","5.6%"
"[object Object]","2025","Malik Willis","Packers","22","1.06","0.048","-0.44","-0.020","0.17","0.01","59.1%","0.2","0.0","22.7%","13.6%"
"[object Object]","2025","Isaiah Bond","Browns","5","1.02","0.204","0.85","0.169","1.38","0.28","80.0%","1.0","0.0","0.0%","0.0%"
